手机型号,价格,运行内存,电池容量,机身颜色,前置像素,后置像素
,288.00元,None,NonemAh,None,None,None
,178.00元,None,NonemAh,None,None,None
,5610.00元,None,NonemAh,None,None,None
,288.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C5 Pro（C5010） 碧湖蓝 全网通 4G+64G,1688.00元,4GB,2600mAh,其他,1600万像素,1600万像素
三星（SAMSUNG） Galaxy J3 手机 嫣霞粉 全网通(三星J3300) 32GB,905.00元,3GB,2600mAh,其他,500万像素,1300万像素
,188.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C7（SM-C7000）移动联通电信4G手机 烟雨灰 全网通(4G+32G),1528.00元,其他,3300mAh,其他,800万像素,1600万像素
,4388.00元,None,NonemAh,None,None,None
三星（SAMSUNG）Galaxy J3 （J3300）移动联通电信4G双卡手机3+32G 黑色,933.00元,3GB,2600 以官网信息为准mAh,其他,500万像素,1300万像素
,388.00元,None,NonemAh,None,None,None
三星（SAMSUNG） C7 Pro（C7010）手机 枫叶金 全网通(4G RAM+64G ROM)标配,1928.00元,4GB,以官网信息为准mAh,其他,1600万像素,1600万像素
三星（SAMSUNG） W2018 翻盖智能商务手机 至尊雅金 全网通(6G+64G),13058.00元,6GB,2300mAh,其他,500万像素,1200万像素
,5658.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy On5（G5500） 移动联通4G 智能老人机手机 流沙金 8G,779.00元,其他,2600mAh,白色,500万像素,800万像素
,99.00元,None,NonemAh,None,None,None
,188.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
SAMSUNG 三星 G9298 领世旗舰8 大器5 双屏翻盖智能手机 双卡双待 黑色 移动联通双4G(4G+64G),9999.00元,4GB,2300mAh,黑色,500万像素,1200万像素
,2798.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S7 edge（G9350）手机 莹钻粉 全网通(4GB+32GB)版,2999.00元,4GB,3600mAh,其他,500万像素,1200万像素
,4799.00元,None,NonemAh,None,None,None
,4799.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星(SAMSUNG) W2017 翻盖4G手机 黑色 电信4G(4G RAM+64G ROM)标配,8950.00元,4GB,其他mAh,其他,500万像素,1200万像素
,299.00元,None,NonemAh,None,None,None
三星（SAMSUNG） galaxy s7 edge (G9350) 智能手机 雪晶白 全网通(4+32G),2999.00元,4GB,0mAh,其他,500万像素,1200万像素
,3258.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2017 翻盖手机 黑色 电信4G版(4G+64G)标配,8999.00元,4GB,2300mAh,其他,500万像素,1200万像素
,4680.00元,None,NonemAh,None,None,None
,4198.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C9Pro(C9000) 手机 粉色 全网通(6G+64G),2369.00元,6GB,以官网信息为准mAh,其他,1600万像素,1600万像素
三星（SAMSUNG） Galaxy Folder2 （G1650）全网通4G 翻盖手机 黑色,1799.00元,2GB,1950mAh,其他,500万像素,800万像素
,4049.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2016双卡双待 翻盖智能4G手机 尊贵金 电信4G标配版,4858.00元,3GB,2000mAh,其他,500万像素,1600万像素
三星（SAMSUNG） C5Pro Galaxy（C5010） 碧湖蓝 全网通4G(4G+64G),1696.00元,4GB,2600mAh,其他,1600万像素,1600万像素
三星（SAMSUNG） 三星 Galaxy C9 Pro（C9000）手机 墨玉黑 全网通4G(6G RAM+64G ROM)标配,2688.00元,6GB,4000mAh-5999mAhmAh,其他,1600万像素,1600万像素
三星（SAMSUNG） Galaxy C5（C5000）全网通4G智能手机 双卡双待 烟雨灰（4G+32G）,1359.00元,4GB,2600mAh,其他,800万像素,1600万像素
,178.00元,None,NonemAh,None,None,None
,188.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy J3 （SM-J3300）手机 流沙金 全网通（3G+32G）,929.00元,3GB,2600mAh,其他,500万像素,1300万像素
三星（SAMSUNG） C7 (SM-C7000) 全网通4G 智能手机 枫叶金 32G 官方标配,1518.00元,4GB,3300mAh,其他,1600万像素,1600万像素
,3245.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S7 edge（G9350）手机 铂光金 全网通(4G+32G),2999.00元,其他,以官网信息为准mAh,其他,500万像素,1200万像素
三星（SAMSUNG） Galaxy J3 手机 黑色 全网通(三星J3300) 32G,935.00元,3GB,2600mAh,其他,500万像素,1300万像素
三星（SAMSUNG） W2017 翻盖智能商务手机 双卡双待 电信4G 尊崇黑 (4GRAM+64GROM),10200.00元,4GB,2300mAhmAh,其他,500万像素,1200万像素
三星（SAMSUNG） Galaxy C8（C7100） 移动联通电信4G手机 墨玉黑 32G,1528.00元,其他,3000mAhmAh,黑色,1600万像素,500万像素；1300万像素
三星（SAMSUNG） Galaxy S7 (G9300) 全网通4G智能手机 铂光金（4G+32G）,2699.00元,4GB,3000mAh,其他,500万像素,1200万像素
,4910.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8 4G+64G 移动联通电信全网通4G手机 墨玉黑 64GB版,1999.00元,4GB,3000mAhmAh,黑色,1600万像素,500万像素；1300万像素
三星 Galaxy Note8（SM-N9500）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6988.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
【移动赠费版】三星Galaxy S8 4G+智（SM-G9508）4GB+64GB版 谜夜黑 移动联通电信4G手机 双卡双待,4699.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
三星（SAMSUNG） 三星 W2018 心系天下 双卡双屏翻盖4G手机 尊铂(6GB RAM+256GB ROM) 全网通,17888.00元,6GB,2300mAh,金色,500万像素,1200万像素
,4079.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy Folder2 （SM-G1650）翻盖手机 琉璃黑 4G全网通(2GB RAM+16GB ROM),1649.00元,2GB,1950mAh,其他,500万像素,800万像素
三星（SAMSUNG） 三星Galaxy J3（J3300） 手机 雪夜黑 全网通(3G+32G),945.00元,3GB,以官网信息为准mAh,其他,500万像素,1300万像素
,4049.00元,None,NonemAh,None,None,None
,99.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C8（SM-C7100）手机 墨玉黑 全网通(4GB RAM+64GB ROM),1598.00元,3GB,3000mAh,其他,1600万像素,500万像素；1300万像素
三星（SAMSUNG） Galaxy J3（J3300）4G手机 双卡双待 粉色 全网通(3G RAM+32G ROM),948.00元,3GB,2600mAh,其他,500万像素,1300万像素
,99.00元,None,NonemAh,None,None,None
三星 Galaxy S9 4G+智（SM-G9608/DS）4GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
三星（SAMSUNG） Galaxy C5 Pro（C5010）全网通4G智能手机 蓝色（4G+64G）,1799.00元,4GB,2600mAh,其他,1600万像素,1600万像素
,5488.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S9（SM-G9600/DS）移动联通电信4G手机 双 夕雾紫 S9 64G,5799.00元,4GB,3000mAh,黑色,800万像素,1200万像素
三星（SAMSUNG） Galaxy C8（SM-C7100）4G手机 双卡双待 蔷薇粉 全网通(4G RAM+64G ROM),1668.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,1799.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8+（SM-G9550）移动联通电信4G手机 双卡 雾屿蓝 S8+ 6+128G,6299.00元,6GB,3500mAh,黑色,800万像素,1200万像素
三星（SAMSUNG） Galaxy Note8（SM-N9500）移动联通电信4G手机 双卡双待 迷夜黑 Note8 64G,6988.00元,6GB,3300mAhmAh,黑色,800万像素,1200万像素
三星（SAMSUNG） Galaxy S9+（SM-G9650/DS）移动联通电信4G手机 夕雾紫 S9+ 64G,6699.00元,6GB,3500mAh,黑色,800万像素,1200万像素
,99.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C5（SM-C5000）移动联通电信4G手机 金色 公开全网通(4G+32G),1149.00元,4GB,2600mAh,其他,其他,1600万像素
三星（SAMSUNG） Galaxy Folder2 （SM-G1650）翻盖4G手机 碧玺红 全网通(2G RAM+16G ROM),1648.00元,2GB,1950mAh,其他,500万像素,800万像素
三星（SAMSUNG） Galaxy S8（SM-G9500） 全网通4G手机 谜夜黑 4GB+64GB,4999.00元,4GB,3000mAh,黑色,800万像素,1200万像素
三星（SAMSUNG） W2016 翻盖智能商务手机 双卡双待 电信4G 尊贵金 (3GRAM+64GROM),5660.00元,3GB,其它mAh,其他,500万像素,1600万像素
,6589.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8+（SM-G9550）4G手机 双卡双待 勃艮第红 全网通(4G RAM+64G ROM),5499.00元,4GB,3500mAh,其他,800万像素,1200万像素
,2937.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8+（SM-G9550）全网通4G手机 烟晶灰 4GB+64GB,5499.00元,4GB,3500mAh,其他,800万像素,1200万像素
三星（SAMSUNG） Galaxy Note8（SM-N9500）全网通4G手机 谜夜黑 6GB+128GB,7388.00元,6GB,3300mAh,黑色,800万像素,双1200万像素
三星（SAMSUNG） 三星 Galaxy C5（SM-C5000）移动联通电信4G手机 金色 公开全网通4G+32G,1159.00元,4GB,2600mAh,其他,其他,1600万像素
,1988.00元,None,NonemAh,None,None,None
,7137.00元,None,NonemAh,None,None,None
,7978.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C5（SM-C5000）双卡双待手机 枫叶金 全网通4G(4GB+32GB)标配,1158.00元,4GB,2600mAhmAh,金色,800万像素,1600万像素
三星（SAMSUNG） Galaxy C7（SM-C7000）全网通4G智能手机 烟雨灰（4G+32G）,1599.00元,4GB,3300mAh,其他,800万像素,1600万像素
,7829.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星W2018手机 翻盖智能商务手机 全网通4G 雅金 (6GB+64GB）,13650.00元,6GB,2300mAh,其他,500万像素,1200万像素
SAMSUNG 三星 Galaxy C8（SM-C7100）手机 智能手机 墨玉黑 全网通C8 4+64GB,1599.00元,4GB,0mAh,黑色,1600万像素,500万像素；1300万像素
三星 Galaxy C8（SM-C7100）4GB+64GB 墨玉黑 移动联通电信4G手机 双卡双待,1999.00元,4GB,3000mAhmAh,墨玉黑,1600万像素,500万像素；1300万像素
,849.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C9 Pro（C9000）4G手机 枫叶金 全网通(6G+64G),2549.00元,"
                    ",4000mAh,金色,1600万像素,1600万像素
三星Galaxy S8 4G+智版（SM-G9508）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,4999.00元,"
                    ",3000mAh,谜夜黑,800万像素,1200万像素
,4099.00元,None,NonemAh,None,None,None
三星 Galaxy S8+（SM-G9550）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6299.00元,6GB,3500mAh,谜夜黑,800万像素,1200万像素
三星 Galaxy S8+（SM-G9550）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5499.00元,4GB,3500mAh,谜夜黑,800万像素,1200万像素
三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,4999.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
三星 Galaxy S9+（SM-G9650/DS）6GB+256GB 谜夜黑 移动联通电信4G手机 双卡双待,7599.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
三星 Galaxy C5（SM-C5000）4GB+32GB 枫叶金 移动联通电信4G手机 双卡双待,1199.00元,4GB,2600mAh,枫叶金,800万像素,1600万像素
三星 Galaxy S9 4G+智（SM-G9608/DS）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
三星（SAMSUNG） Galaxy J3（J3300）全网通4G智能手机 双卡双待 流沙金（3G+32G）,999.00元,3GB,2600mAh,黑色,500万像素,1300万像素
三星（SAMSUNG） Galaxy Folder2（G1650）翻盖手机 琉璃黑 全网通(2GRAM+16G ROM),1799.00元,2GB,1950mAh,其他,500万像素,800万像素
